Area,Pedal cyclist casualty rate,Population per square kilometre,Square Kilometres,Total major road dual carriageway,Road density,Traffic Flows - Cars,Traffic Flows - All vehicles,Cars,Motor cycles,Light goods,Heavy goods,Buses and coaches
Camden-2019,918.41987,11727,21.789295,3.7,12.98802921,352,478,41394,2353,3468,299,88
Camden-2018,983.88413,11595,21.789295,3.7,12.91000925,351,479,42631,2451,3777,335,117
Camden-2017,986.73434,11453,21.789295,3.7,13.13489032,349,477,46140,2685,4402,395,169
Camden-2016,950.52015,11298,21.789295,3.7,13.13030091,343,470,47808,2857,4436,422,191
Camden-2015,995.60688,11063,21.789295,3.7,13.22667851,350,468,48063,3116,4442,452,190
Islington-2019,1064.06233,16261,14.856656,2,16.14764453,319,447,35536,2670,2781,230,161
Islington-2018,1091.40176,16038,14.856656,2,16.14764453,313,441,36281,2899,2817,272,176
Islington-2017,1038.29787,15843,14.856656,2,16.15437552,308,435,35894,3016,2844,247,144
Islington-2016,1039.22874,15698,14.856656,2,16.14091354,303,429,36529,3178,2842,219,146
Islington-2015,1190.20431,15350,14.856656,2,16.14764453,304,418,36556,3168,2913,209,152
Hackney-2019,771.91235,15036,19.049025,4,14.45743286,403,548,41315,2723,3374,230,480
Hammersmith and Fulham-2019,847.99317,11348,16.397453,6.8,13.83141638,434,590,43524,3556,2379,168,103
Kensington and Chelsea-2019,1056.8184,13241,12.124013,6,17.56019232,424,584,40806,2288,1558,57,93
Lambeth-2019,975.3584,12608,26.810035,4.9,14.24466622,640,881,63007,4496,4458,154,142
Richmond upon Thames-2019,727.20295,3496,57.406785,5.9,7.310982491,732,913,77021,3849,3926,147,1121
Southwark-2019,1144.81071,11339,28.862033,6.4,13.77588336,619,849,57378,3893,4087,252,1366
Tower Hamlets-2019,902.24638,16364,19.781276,16,15.33268127,749,1015,44581,2869,3001,243,100
Wandsworth-2019,776.51762,9597,34.26417,9,12.88518006,707,931,78995,5695,5356,448,312
Westminster-2019,1484.78668,12031,21.48698,17.1,16.50767116,627,890,50334,2391,3229,132,583
