code,area,Once per month,Once per week,Three times per week,Five times per week,,,,,,,,,,,active value,active value classfied,,,
E09000001,City of London,25.73469228,13.40209084,2.660900302,1.498381511,,19.15325988,3.458430445,0.709689702,0.081835458,,13.17179836,9.608204668,1.388565496,1.057488048,9.126620689,2,,273.7986207,9.126620689
E09000002,Barking and Dagenham,4.831190262,3.459103504,1.202357312,0.473367232,,3.280925734,1.719962003,0,0,,2.238758289,2.17665813,0.764840683,0.473367232,2.743827801,1,,82.31483405,2.743827802
E09000003,Barnet,12.66550219,9.542197004,6.36656748,2.704749352,,11.22093703,8.228389272,2.44900523,1.397568039,,6.511161901,5.503342253,2.121706605,0.94880749,11.85877216,3,,355.7631646,11.85877215
E09000004,Bexley,12.59698153,9.225544565,3.975405514,1.108332506,,9.750928758,7.080426339,1.342089265,0.530999723,,5.790203481,4.687461641,2.988812927,0.355496678,8.389470486,2,,251.6841146,8.389470485
E09000005,Brent,13.85148951,9.049942682,5.213199353,3.536852583,,10.74336703,5.945010706,0.809761402,0.243232201,,8.294527594,5.94453773,3.6973279,1.729014451,11.44909324,3,,343.4727972,11.44909324
E09000006,Bromley,9.097070817,5.204003879,1.865671157,0.711772448,,8.098613255,3.369111475,0.518444305,0.518444305,,3.359335861,2.739512209,1.361217797,0.410386994,4.785386807,1,,143.5616042,4.785386808
E09000007,Camden,18.8386873,15.87476982,10.62226124,6.961250909,,12.6082839,7.978732266,0.539825535,0.400140632,,14.37852956,12.56836426,8.144261816,6.520448459,23.36086498,5,,700.8259492,23.36086497
E09000008,Croydon,6.60835394,4.162635344,1.100274449,0.391239201,,5.607681287,2.778378519,0.424799039,0.15334155,,2.343827504,1.999432144,0.560479464,0.197742928,3.006491859,1,,90.19475576,3.006491859
E09000009,Ealing,13.92750931,11.09568723,4.215438733,2.84932078,,10.23228747,6.227671106,2.078450071,1.117037271,,7.8875547,6.272607943,2.726775402,1.688016514,11.59222261,3,,347.7666784,11.59222261
E09000010,Enfield,10.26719595,6.949237447,2.961220142,1.873537049,,7.646456409,4.243750697,1.233671443,0.286076546,,4.281774913,3.524574752,1.213500295,1.073412099,7.02089651,2,,210.6268953,7.02089651
