Area,Pedal cyclist casualty rate,Population per square kilometre,Square Kilometres,Total major road dual carriageway,Road density,Traffic Flows - Cars,Traffic Flows - All vehicles,Cars,Motor cycles,Light goods,Heavy goods,Buses and coaches
Barking and Dagenham-2019,281.81451,5950,36.107817,14.6,9.837205057,625,809,64869,1755,5946,848,181
Barnet-2019,159.14356,4638,86.748314,44.3,9.338510026,1636,2089,143155,4385,8620,526,442
Bexley-2019,132.9107,4174,60.580668,24.8,9.499730178,1010,1275,106628,4009,9527,1281,1146
Brent-2019,242.59259,7887,43.232637,12.3,11.60697183,866,1098,92183,4890,8583,1208,2097
Bromley-2019,300.90029,2227,150.134892,9.4,6.07453729,1249,1555,148462,5586,11999,686,325
Croydon-2019,222.38887,4584,86.503635,9.9,9.093259491,1204,1507,141122,5329,11748,480,282
Ealing-2019,348.15071,6377,55.544305,19,10.95341818,1107,1425,116969,4991,10559,1195,599
Enfield-2019,143.80127,4200,80.831971,32,8.273953879,1532,2046,120019,3093,11049,2286,260
Greenwich-2019,295.19834,6119,47.333867,30.5,11.30268947,992,1289,78636,3095,5671,543,279
Haringey-2019,469.01696,9661,29.598387,4.4,12.19661058,509,670,61834,3443,4878,386,1920
Harrow-2019,131.39035,5130,50.462744,7.9,9.593215938,767,933,100481,2103,5873,345,359
Havering-2019,127.14215,2302,112.349666,40.8,6.226987804,1373,1881,115361,3521,12111,1498,286
Hillingdon-2019,195.52253,2702,115.701137,44.8,6.971409451,2153,2662,141665,4103,16151,1466,570
Hounslow-2019,453.0003,5026,55.977912,39.1,9.689536116,1459,1815,97535,3970,8310,1322,467
Kingston upon Thames-2019,399.98423,4847,37.261176,13.9,9.613223158,874,1081,66239,3162,5578,182,197
Lewisham-2019,516.60661,8934,35.149294,5.8,12.88788332,752,987,76392,3502,5354,271,227
Merton-2019,401.84364,5593,37.624738,10.3,10.3362846,565,724,70113,3567,6052,814,2733
Newham-2019,286.01041,9931,36.19839,17.4,12.35966572,824,1073,70338,2628,5419,656,1330
Redbridge-2019,203.13084,5454,56.418997,27.8,9.959411366,1097,1389,105629,2460,6794,346,260
Sutton-2019,266.53873,4782,43.846981,1.7,9.902620205,647,809,87727,3756,8308,467,276
Waltham Forest-2019,454.90156,7390,38.807963,13,11.27088273,758,978,78237,2942,6235,514,224
Barking and Dagenham-2018,202.8321,5893,36.107817,14.6,9.803971256,612,798,63994,1835,6113,877,177
Barnet-2018,193.80833,4577,86.748314,44.4,9.328135184,1587,2034,142324,4411,8830,561,495
Bexley-2018,149.64127,4127,60.580668,24.8,9.49147672,970,1230,105638,4101,9876,1408,1109
Brent-2018,256.95673,7792,43.232637,12.3,11.58384116,829,1056,92167,4691,8835,1257,2160
Bromley-2018,262.76367,2216,150.134892,9.4,6.087192576,1187,1485,148873,5700,11952,696,348
Croydon-2018,233.55634,4523,86.503635,9.9,9.089791429,1157,1454,141284,5278,11819,516,303
Ealing-2018,350.89566,6315,55.544305,19,10.9372149,1094,1411,116874,5163,10732,1189,700
Enfield-2018,146.76415,4178,80.831971,31.5,8.256633999,1496,2016,119768,3092,11210,1977,250
Greenwich-2018,359.9058,6049,47.333867,30.5,11.29212621,961,1256,78565,3203,5830,604,242
Haringey-2018,399.07769,9605,29.598387,4.4,12.1763392,488,644,61835,3353,5043,374,1922
Harrow-2018,159.9047,5061,50.462744,7.9,9.593215938,726,888,100257,2169,5938,412,340
Havering-2018,178.42597,2292,112.349666,40.8,6.228767961,1339,1840,115346,3670,12277,1561,299
Hillingdon-2018,183.71257,2679,115.701137,44.8,6.973138043,2077,2580,140721,4247,16060,1456,545
Hounslow-2018,469.01197,4971,55.977912,39.1,9.675244764,1381,1727,97108,3979,8309,1278,476
Kingston upon Thames-2018,490.11227,4820,37.261176,13.9,9.60785564,843,1048,65860,3213,5689,174,202
Lewisham-2018,540.29835,8829,35.149294,5.8,12.86512327,713,941,77044,3649,5528,294,241
Merton-2018,402.54915,5566,37.624738,10.3,10.35488938,543,699,71904,3513,6282,895,2634
Newham-2018,295.45035,9759,36.19839,17.4,12.36795338,822,1074,70200,2619,5150,657,1512
Redbridge-2018,177.71459,5422,56.418997,27.8,9.957638914,1093,1393,105129,2490,6974,337,265
Sutton-2018,180.90698,4730,43.846981,1.7,9.888936253,607,762,87433,3811,8258,449,252
Waltham Forest-2018,426.45464,7306,38.807963,13.1,11.27603631,755,979,78270,2983,6514,541,274
Barking and Dagenham-2017,199.32514,5830,36.107817,14.6,9.828896607,596,776,63081,1964,6136,1003,186
Barnet-2017,154.71773,4512,86.748314,43.8,9.29816342,1555,1991,142346,4640,8921,551,625
Bexley-2017,77.19686,4080,60.580668,24.5,9.649943114,944,1209,105953,4320,10033,1399,1098
Brent-2017,276.51002,7697,43.232637,12.1,11.55377129,790,1007,92459,4793,8961,1235,2248
Bromley-2017,303.59057,2204,150.134892,9.4,6.098515727,1151,1447,149173,5892,11866,635,354
Croydon-2017,176.69819,4466,86.503635,9.8,9.108287762,1098,1390,140656,5324,11812,555,330
Ealing-2017,291.76976,6250,55.544305,18.5,10.91561052,1066,1375,117160,5119,10737,1246,725
Enfield-2017,153.28895,4152,80.831971,30.8,8.304882235,1458,1958,120124,3252,11166,1823,270
Greenwich-2017,342.93917,5974,47.333867,29.8,11.24776051,924,1211,78077,3322,5847,596,243
Haringey-2017,479.30862,9541,29.598387,4.4,12.19998914,468,619,62055,3387,5218,366,1969
Harrow-2017,128.57602,4995,50.462744,7.9,9.551601078,696,856,100663,2354,6073,607,353
Havering-2017,136.69792,2280,112.349666,39.9,6.235888587,1295,1778,115199,3774,12425,1514,314
Hillingdon-2017,125.68507,2654,115.701137,44,6.928194664,1969,2455,136829,4287,15359,1278,546
Hounslow-2017,419.91825,4912,55.977912,36.9,9.578778144,1328,1660,97095,4103,8210,1290,507
Kingston upon Thames-2017,446.71237,4788,37.261176,13.8,9.623958192,812,1014,66126,3287,5734,164,205
Lewisham-2017,454.68575,8717,35.149294,5.8,13.16669405,698,924,77287,3703,5608,287,251
Merton-2017,363.98579,5534,37.624738,9.9,10.26718113,512,658,72299,3569,6412,815,2822
Newham-2017,261.49726,9598,36.19839,17,12.26021378,800,1046,69977,2629,5153,678,1444
Redbridge-2017,212.07151,5386,56.418997,27.5,9.934597029,1053,1339,105414,2589,7140,323,295
Sutton-2017,216.48962,4674,43.846981,1.7,9.895778229,589,740,87294,3929,8421,467,254
Waltham Forest-2017,344.82133,7216,38.807963,11.5,11.26315236,697,905,78840,3108,6661,554,252
Barking and Dagenham-2016,188.89858,5729,36.107817,14.5,9.790123839,591,770,62903,2145,6162,1045,190
Barnet-2016,209.79945,4452,86.748314,43.8,9.275108217,1494,1911,142126,4861,8964,582,672
Bexley-2016,159.33976,4044,60.580668,24.5,9.640038964,919,1179,105759,4482,9863,1280,1092
Brent-2016,255.89939,7612,43.232637,12.1,11.54683208,773,987,93132,4709,11162,1196,2210
Bromley-2016,293.67767,2181,150.134892,9.4,6.090522915,1126,1418,149302,6069,11888,667,357
Croydon-2016,193.56324,4420,86.503635,9.8,9.10597572,1069,1359,140772,5447,11772,611,349
Ealing-2016,329.25792,6185,55.544305,18.5,10.91020943,1023,1318,117811,5260,10827,1216,1197
Enfield-2016,159.92999,4101,80.831971,31.3,8.358079008,1436,1921,120393,3365,11150,2025,281
Greenwich-2016,253.78352,5910,47.333867,29.8,11.26043642,886,1161,77768,3553,5813,742,239
Haringey-2016,441.72942,9438,29.598387,4.4,12.21350339,458,608,62099,3491,5123,365,1984
Harrow-2016,84.42143,4941,50.462744,7.9,9.545656098,673,828,100962,2293,6018,705,377
Havering-2016,178.0183,2253,112.349666,39.6,6.227877883,1261,1727,115418,4055,12263,1526,320
Hillingdon-2016,271.10037,2620,115.701137,44.2,6.911773045,1947,2433,136842,4565,15240,1272,706
Hounslow-2016,435.20113,4851,55.977912,36.85,9.577884934,1319,1645,96898,4243,8019,1593,474
Kingston upon Thames-2016,403.16399,4727,37.261176,13.8,9.613223158,799,1001,66142,3391,5799,153,210
Lewisham-2016,526.72203,8605,35.149294,5.7,13.13824397,673,891,77142,3814,5587,331,261
Merton-2016,385.31135,5467,37.624738,9.9,10.26186548,500,645,73833,3724,6515,818,2894
Newham-2016,231.6865,9460,36.19839,16.3,12.22153803,754,989,67815,2811,5044,692,1520
Redbridge-2016,153.71814,5306,56.418997,27,9.90801024,1033,1312,105660,2821,7038,328,322
Sutton-2016,153.29839,4621,43.846981,1.7,9.891216912,569,718,87061,4074,8390,476,254
Waltham Forest-2016,427.77957,7125,38.807963,11.5,11.27088273,680,879,78868,3266,6834,607,244
Barking and Dagenham-2015,168.33433,5605,36.107817,14.5,9.740273138,582,739,61497,2164,6066,1023,203
Barnet-2015,158.02323,4378,86.748314,43.6,9.231303331,1523,1910,140154,4889,8619,521,710
Bexley-2015,144.54328,4001,60.580668,24.5,9.432051822,899,1131,104360,4540,9751,1308,1038
Brent-2015,308.63054,7514,43.232637,9.9,11.43349179,749,937,91260,4410,11123,1158,2217
Bromley-2015,326.29742,2167,150.134892,9.4,6.085194373,1127,1386,147812,6106,11533,659,364
Croydon-2015,274.38389,4382,86.503635,9.8,9.122160011,1062,1314,138642,5509,11298,543,350
Ealing-2015,422.66782,6183,55.544305,18.5,10.91381016,1035,1308,116985,5799,10457,1265,1233
Enfield-2015,155.28281,4064,80.831971,31.3,8.358079008,1442,1893,118842,3369,10913,1856,280
Greenwich-2015,302.03455,5806,47.333867,29.8,11.26888703,897,1149,76451,3549,5653,643,242
Haringey-2015,454.43884,9249,29.598387,4.4,12.21688195,461,593,61102,3403,4873,341,1655
Harrow-2015,117.34715,4908,50.462744,7.9,9.537729458,668,801,100091,2111,5904,691,339
Havering-2015,164.60244,2220,112.349666,39.6,6.21363663,1244,1662,113863,4130,11912,1436,343
Hillingdon-2015,255.26055,2579,115.701137,44.2,6.892758539,1911,2348,136355,4531,15992,1276,852
Hounslow-2015,431.59579,4809,55.977912,36.85,9.55287507,1314,1609,95708,4203,7800,1752,486
Kingston upon Thames-2015,374.58579,4658,37.261176,13.8,9.610539399,789,967,65371,3409,5841,144,204
Lewisham-2015,430.50534,8476,35.149294,5.7,12.92771343,661,847,75641,3641,5445,398,265
Merton-2015,439.95796,5455,37.624738,9.9,10.26186548,504,630,72203,3736,6231,737,2749
Newham-2015,306.47473,9234,36.19839,16.3,12.19114994,749,961,65360,2742,4876,656,1544
Redbridge-2015,195.4224,5263,56.418997,27,9.911555145,1024,1275,104299,2808,6880,322,323
Sutton-2015,164.88046,4574,43.846981,1.7,9.902620205,563,689,86066,4102,8293,505,247
Waltham Forest-2015,409.33732,7004,38.807963,11.5,11.26057557,674,853,77403,3246,6590,581,248
